wav,spec
5600.7,1.1652118308677984e-13 
5601.4,1.163872155969137e-13 
5602.1,1.0672556837210804e-13 
5602.8,1.1930167429306445e-13 
5603.5,1.1924556923729626e-13 
5604.2,1.1695367983715694e-13 
5604.9,1.2144578340857094e-13 
5605.6,1.1150156498443405e-13 
5606.3,1.1424368076587624e-13 
5607.0,1.182420706743819e-13 
5607.7,1.3401516630995755e-13 
5608.4,1.3387086030358014e-13 
5609.1,1.3119355391195522e-13 
5609.8,1.2693997628729268e-13 
5610.5,1.376344372260248e-13 
5611.2,1.2793210242456949e-13 
5611.9,1.361657637936797e-13 
5612.6,1.2438768610984224e-13 
5613.3,1.3205875013403406e-13 
5614.0,1.2217015529718922e-13 
5614.7,1.2441426800574373e-13 
5615.4,1.190343075134497e-13 
5616.1,1.2012505523875528e-13 
5616.8,1.2535672490108862e-13 
5617.5,1.2289838500385607e-13 
5618.2,1.1871522183489254e-13 
5618.9,1.118135786315839e-13 
5619.6,1.1103286007459487e-13 
5620.3,1.1461073927806e-13 
5621.0,1.145899809759416e-13 
5621.7,1.218245859895819e-13 
5622.4,1.2451580891821158e-13 
5623.1,1.165507644096265e-13 
5623.8,1.2164880162244556e-13 
5624.5,1.2025142894027273e-13 
5625.2,1.1716593858857092e-13 
5625.9,1.132381467132434e-13 
5626.6,1.1628234236642663e-13 
5627.3,1.2368512717453226e-13 
5628.0,1.2109772742183389e-13 
5628.7,1.1633057382365218e-13 
5629.4,1.2114411026198657e-13 
5630.1,1.2334730461809555e-13 
5630.8,1.362940249036076e-13 
5631.5,1.2414822526987037e-13 
5632.2,1.2292392649194912e-13 
5632.9,1.1716664950900182e-13 
5633.6,1.2543446217824171e-13 
5634.3,1.3562125441740634e-13 
5635.0,1.2156156429933218e-13 
5635.7,1.1766533187787567e-13 
5636.4,1.2526328760194808e-13 
5637.1,1.23109278611826e-13 
5637.8,1.3232767390632915e-13 
5638.5,1.140174095392436e-13 
5639.2,1.2111335323637607e-13 
5639.9,1.1161752137798065e-13 
5640.6,1.1174393995935273e-13 
5641.3,1.2442285033056202e-13 
5642.0,1.2162514740628665e-13 
5642.7,1.238271232183074e-13 
5643.4,1.2442178934978172e-13 
5644.1,1.1505715008437178e-13 
5644.8,1.1255756842999995e-13 
5645.5,1.2661519767189444e-13 
5646.2,1.29523017802152e-13 
5646.9,1.3408704234594143e-13 
5647.6,1.2968484830989472e-13 
5648.3,1.1876091707845475e-13 
5649.0,1.2747208948130931e-13 
5649.7,1.271330816516922e-13 
5650.4,1.256513483222749e-13 
5651.1,1.227319219424708e-13 
5651.8,1.1380001890605485e-13 
5652.5,1.233483456168613e-13 
5653.2,1.2716728692372961e-13 
5653.9,1.265306074244179e-13 
5654.6,1.208387914648051e-13 
5655.3,1.200073599669732e-13 
5656.0,1.179613898737534e-13 
5656.7,1.1340790087294089e-13 
5657.4,1.1090664678351808e-13 
5658.1,1.2827847493664194e-13 
5658.8,1.0769041190767922e-13 
5659.5,1.1432355824983653e-13 
5660.2,1.1560620520469044e-13 
5660.9,1.2074564284694589e-13 
5661.6,1.1762071327869524e-13 
5662.3,1.137844786657895e-13 
5663.0,1.2590425998909243e-13 
5663.7,1.2540661838331373e-13 
5664.4,1.189675590319388e-13 
5665.1,1.2639683598666044e-13 
5665.8,1.2151543889844234e-13 
5666.5,1.2147670774351034e-13 
5667.2,1.2551562897963275e-13 
5667.9,1.1519627971778158e-13 
5668.6,1.1572225300637965e-13 
5669.3,1.2234999976097497e-13 
5670.0,1.1728169242499058e-13 
5670.7,1.2450131904425e-13 
5671.4,1.2419409869025014e-13 
5672.1,1.2378863733619018e-13 
5672.8,1.3216574005609734e-13 
5673.5,1.1631691272615288e-13 
5674.2,1.1896879982536219e-13 
5674.9,1.1646566477406862e-13 
5675.6,1.3605331169396278e-13 
5676.3,1.1996895245067722e-13 
5677.0,1.3596663052007841e-13 
5677.7,1.293173562760054e-13 
5678.4,1.2665989660143253e-13 
5679.1,1.2953537263002948e-13 
5679.8,1.187877448131932e-13 
5680.5,1.3732650410082001e-13 
5681.2,1.2913000551909064e-13 
5681.9,1.2220930635202495e-13 
5682.6,1.2618864145706008e-13 
5683.3,1.2475431411372175e-13 
5684.0,1.2316959175727544e-13 
5684.7,1.2186837494127132e-13 
5685.4,1.2197507323738975e-13 
5686.1,1.151822751894397e-13 
5686.8,1.1285725108113609e-13 
5687.5,1.2348493391207642e-13 
5688.2,1.1388939768980202e-13 
5688.9,1.110248980142916e-13 
5689.6,1.1486223661774148e-13 
5690.3,1.2389247904136734e-13 
5691.0,1.3226595684817643e-13 
5691.7,1.3077429787112472e-13 
5692.4,1.2281601815757164e-13 
5693.1,1.1755793775848632e-13 
5693.8,1.2947199455453744e-13 
5694.5,1.3437166233900007e-13 
5695.2,1.34679099905074e-13 
5695.9,1.2954592169036213e-13 
5696.6,1.2539947159915427e-13 
5697.3,1.2427112700440943e-13 
5698.0,1.1670999227943742e-13 
5698.7,1.15668458368671e-13 
5699.4,1.1600845116604776e-13 
5700.1,1.2368941292396673e-13 
5700.8,1.299448264542004e-13 
5701.5,1.2207804628433022e-13 
5702.2,1.2119365521022138e-13 
5702.9,1.2150825490554404e-13 
5703.6,1.1663281349104713e-13 
5704.3,1.2110481189308176e-13 
5705.0,1.156185056888396e-13 
5705.7,1.1671296210861938e-13 
5706.4,1.1504895347907612e-13 
5707.1,1.188054648843622e-13 
5707.8,1.1838310548276297e-13 
5708.5,1.270557539408338e-13 
5709.2,1.17571467825768e-13 
5709.9,1.1829904045101337e-13 
5710.6,1.1772326690808498e-13 
5711.3,1.158987083735994e-13 
5712.0,1.2277808571582043e-13 
5712.7,1.1062936559201192e-13 
5713.4,1.1820589682936086e-13 
5714.1,1.1557647263120694e-13 
5714.8,1.2263737855174742e-13 
5715.5,1.1316788487161601e-13 
5716.2,1.333288418202079e-13 
5716.9,1.1651079067520248e-13 
5717.6,1.2493314812399217e-13 
5718.3,1.1793068887570408e-13 
5719.0,1.3498155705349917e-13 
5719.7,1.2652025105182888e-13 
5720.4,1.202613288467517e-13 
5721.1,1.174083911305154e-13 
5721.8,1.1899693073803666e-13 
5722.5,1.3104869324070058e-13 
5723.2,1.3781625156909777e-13 
5723.9,1.2874371128970475e-13 
5724.6,1.35166199498869e-13 
5725.3,1.277930373732153e-13 
5726.0,1.3823245385762442e-13 
5726.7,1.28694119399058e-13 
5727.4,1.3334166763049873e-13 
5728.1,1.275357375673764e-13 
